ExecutionIndex,SequentialExecutionTime(ns),ParallelExecutionTime2Threads(ns),ParallelExecutionTime4Threads(ns),ParallelExecutionTime8Threads(ns),ParallelExecutionTime16Threads(ns),ParallelPhaserTimeExecutionWith2Threads(ns),ParallelPhaserTimeExecutionWith4Threads(ns),ParallelPhaserTimeExecutionWith8Threads(ns),ParallelPhaserTimeExecutionWith16Threads(ns),KnapsackGAActorModelTime(ns)
1,87956800100,47106739700,27714036500,19565711500,15762323899,40248328899,23495360999,16522485001,14109919001,242154864000
2,84934114901,48073970401,27594690301,20416131200,15411058400,40024689600,23507670399,16468179300,14138954600,241804307000
3,87007117200,47586055100,28157520700,20731865701,15401838801,44190287801,25859463800,17659654900,13706302500,250493005600
4,86748921800,47854744900,28339599800,21365152100,15948389300,39846377200,23374345000,16320649900,13872689300,241250143700
5,87207735700,47778257600,28287301000,18679039900,18592191500,44737191200,25620748800,16762279900,13904363800,246612878900
6,87072610500,47984205200,28079639300,20819631400,18845839000,45417141300,25773714600,17238189600,13750966700,261028079100
7,87724833300,48152292500,27313482600,20071921600,15488488300,40140011800,23707129600,16678882200,13758289500,250797606400
8,86923192100,47400779200,27786606400,20625786800,16045656800,39832714600,24177251600,16603600000,13709930900,237918841500
9,87418336100,47782406100,27558275800,20901411800,19617676400,45280282000,24889680100,16913033900,13746184300,251018925500
10,86984521300,48044766500,27827375000,20527467700,15289383200,40088378500,23406189600,16348550500,13954805600,249490438900
11,88251235300,47618082500,27241673600,21038426500,15423757700,40489277400,23747557400,16413221200,13803826600,252650626100
12,87425325300,47399280800,28031759600,19594047700,18109250500,43806660600,25648711100,17078929500,13724360100,240334050700
13,87616819800,47816253000,28204429800,20282154000,15225610300,40210636500,23614491200,16441047200,14424387600,235753437700
14,86920826700,47344883300,27937410300,19328086500,18376148700,44025055800,25741003500,17051130200,13733602200,238372994000
15,86633634000,48154919100,27868545800,20116304000,15073430400,39931645700,24381289300,16798354600,13985789700,252416741400
16,86910768900,47430551700,28597712700,20008573900,19606195700,45259494500,25751145100,16812127600,13848687500,252010368000
17,87485978200,47687986600,27756196600,21548330700,17652182800,44687712800,25639088100,16817055400,13738317900,246019012400
18,86595360400,47800003100,27806990300,19630392700,15858387500,39746336700,23487430400,16469692800,14214103600,255978703600
19,86870497400,47452979600,27969205800,19153857800,16195936200,43637907100,25426376400,16613737800,14124912500,244879185500
20,77933540900,47381190100,26986185400,20204628500,16173760400,44332020200,25323129100,16604904600,13604928700,254012437600
21,86591739000,47467509600,28426391700,19764039900,18114103500,44896744700,25636752900,17231303000,13778074000,256670378100
22,86595433700,47664566100,27815550400,19637598200,18494488700,45163869700,25496635100,16498591000,13923560500,260343895500
23,87924175700,47766990900,28103016100,20982300200,19791547100,44426132300,25756993100,16615308800,14744585600,261248289400
24,78191980800,46681687100,27802107400,17852069000,17555775100,39995083200,23764801500,16814685800,13823296700,238370956600
25,86901999100,47674868100,27549785600,20455995100,14891335000,39888560000,24284001200,17423222900,15003397100,240583847200
26,89242114600,49929382700,28664676300,21053288300,16821862400,41439121000,24585484300,17668138100,15193123500,242498740700
27,90251534800,49616024000,29613476900,21708890300,19069847300,46032063800,26743126500,17886373900,15086005800,260967344300
28,89642416400,49145698100,29484563100,22070297700,16905088700,41109413200,24587092400,17617244100,14990331700,264711028700
29,89482702700,49857412800,28731409100,21418702701,18392458700,45358731200,26480017400,17697380100,14925446800,258691298700
30,79352054901,49084576701,29396848600,21656060400,17169479099,41079308100,24677996500,17689189400,15048638299,258270708900
